Shannon Entropy,Chi-Square (log),Mean Byte,Byte Variance,Serial Correlation,Chunk Entropy StdDev,Chunk Entropy Max,Chunk Entropy Min,High Entropy Ratio,Magic Bytes Mismatch,Ext Entropy Z-Score,Byte Mode Frequency,Compression Estimate,Structural Consistency,Ext Entropy Raw Delta,Is Known Benign Format,label
5.2908463,12.926035,94.05609,567.7545,0.0032416247,0.019532327,5.318759,5.2476044,0.0,0.0,1.6135582,0.08950379,0.035687424,0.99630034,1.6135582,0.0,0
5.2932763,15.011148,94.201355,561.84106,0.0006219281,0.02064349,5.3273396,5.231347,0.0,0.0,1.6165953,0.089660466,0.03519302,0.9960908,1.6165953,0.0,0
5.2955775,14.759518,94.197914,560.95776,0.0032515707,0.02133345,5.3339815,5.2114873,0.0,0.0,1.6194721,0.08983394,0.03613396,0.99596184,1.6194721,0.0,0
5.2966104,14.946877,94.19875,561.553,-0.0012496889,0.022324799,5.3303537,5.2362494,0.0,0.0,1.6207631,0.089473285,0.035423845,0.99577516,1.6207631,0.0,0
5.2950187,14.592284,94.18498,562.6647,0.0016199248,0.022308467,5.3479447,5.2369447,0.0,0.0,1.6187731,0.08959183,0.036209762,0.9957774,1.6187731,0.0,0
5.2884655,13.7080345,94.26594,559.732,0.0024910583,0.017033054,5.3060193,5.2389483,0.0,0.0,1.6105818,0.090886734,0.03657726,0.9967717,1.6105818,0.0,0
5.2947063,15.149576,94.182724,561.1847,0.0020046108,0.022410555,5.3326616,5.197677,0.0,0.0,1.6183829,0.08952318,0.035761908,0.9957568,1.6183829,0.0,0
5.29335,15.142628,94.13183,564.5167,0.0028170706,0.021183725,5.336813,5.2244306,0.0,0.0,1.6166879,0.08908452,0.03610937,0.9959883,1.6166879,0.0,0
5.2959843,15.186588,94.17433,560.57733,-0.0005774494,0.018163795,5.340366,5.2366953,0.0,0.0,1.6199805,0.08956801,0.03571913,0.9965622,1.6199805,0.0,0
5.2940326,14.300134,94.124306,563.4557,0.0023331202,0.021314163,5.343255,5.2285895,0.0,0.0,1.6175407,0.08863596,0.036042374,0.9959646,1.6175407,0.0,0
